google_place_url,business_name,business_website,business_phone,email_1,email_2,type,sub_types,full_address,borough,street,city,postal_code,state,country,timezone,latitude,longitude,review_url,total_reviews,average_rating,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,google_id,contact_page,facebook,twitter,instagram,youtube,linkedin,website_built_with,website_title,website_desc
https://www.google.com/maps?cid=3776578174758754214,Horse and Jockey,http://www.facebook.com/horseandjockeyhotelsingleton,+61 2 6572 1132,,,Pub,Pub,"65-67 George St, Singleton NSW 2330, Australia",,65-67 George St,Singleton,2330.0,New South Wales,Australia,Australia/Sydney,-32.5625964,151.175484,"https://search.google.com/local/reviews?placeid=ChIJJ8zt_tevDGsRphf9PNcZaTQ&q=Adult+entertainment+club+in+Singleton,+New+South+Wales,+Australia&authuser=0&hl=en&gl=US",263.0,4.3,"{1: 9, 2: 6, 3: 30, 4: 83, 5: 135}",9.0,6.0,30.0,83.0,135.0,0x6b0cafd7feedcc27:0x346919d73cfd17a6,,https://www.facebook.com/login/,,,,,,Facebook,
https://www.google.com/maps?cid=15355694002495954280,Freemasons Hotel,https://www.facebook.com/freemasonshotelgeraldton/,+61 8 9904 9105,,,Pub,"Pub, Bar, Hotel, Delivery Restaurant, Takeout Restaurant","79 Marine Terrace, Geraldton WA 6530, Australia",,79 Marine Terrace,Geraldton,6530.0,Western Australia,Australia,Australia/Perth,-28.7727145,114.6103492,"https://search.google.com/local/reviews?placeid=ChIJo1lkzIVG2isRaB1eWlZiGtU&q=African+restaurant+in+6447,+LORT+RIVER,+WA,+Australia&authuser=0&hl=en&gl=US",824.0,3.9,"{1: 64, 2: 46, 3: 119, 4: 280, 5: 315}",64.0,46.0,119.0,280.0,315.0,0x2bda4685cc6459a3:0xd51a62565a5e1d68,,https://www.facebook.com/login/,,,,,,Facebook,
https://www.google.com/maps?cid=2640466951858875105,The Lodge Hotel,https://brahmalodgehotel.com.au/,+61 8 8258 3333,functions@thelodgehotel.com.au,hello@thelodgehotel.com.au,Pub,Pub,"1572 Main N Rd, Brahma Lodge SA 5109, Australia",,1572 Main N Rd,Brahma Lodge,5109.0,South Australia,Australia,Australia/Adelaide,-34.7824784,138.6540109,"https://search.google.com/local/reviews?placeid=ChIJA9qW2-2zsGoR4eq08rPSpCQ&q=African+restaurant+in+5109,+BRAHMA+LODGE,+SA,+Australia&authuser=0&hl=en&gl=US",1352.0,3.9,"{1: 98, 2: 83, 3: 202, 4: 411, 5: 558}",98.0,83.0,202.0,411.0,558.0,0x6ab0b3eddb96da03:0x24a4d2b3f2b4eae1,https://brahmalodgehotel.com.au/contact-us/,https://www.facebook.com/TheLodgeHotelSA/,,https://www.instagram.com/lodgehotel_/,,,Site Kit by Google 1.132.0,The Brahma Lodge Hotel,
https://www.google.com/maps?cid=13016397124281507271,Palmwoods Hotel,http://www.palmwoodshotel.com.au/,+61 7 5445 9003,,,Pub,"Pub, Hotel","28-34 Main St, Palmwoods QLD 4555, Australia",,28-34 Main St,Palmwoods,4555.0,Queensland,Australia,Australia/Brisbane,-26.6886292,152.9597301,"https://search.google.com/local/reviews?placeid=ChIJc9Hbh_6Dk2sRxx03gDiIo7Q&q=African+restaurant+in+Palmwoods,+Queensland,+Australia&authuser=0&hl=en&gl=US",760.0,4.3,"{1: 45, 2: 16, 3: 60, 4: 209, 5: 430}",45.0,16.0,60.0,209.0,430.0,0x6b9383fe87dbd173:0xb4a3883880371dc7,,,,,,,,,
https://www.google.com/maps?cid=2685739623098312429,Sky Tavern,http://www.skytavern.com.au/,+61 8 8642 3906,,,Pub,"Pub, Bar, Gambling house, Hotel, Liquor store","4 Tassie St, Port Augusta SA 5700, Australia",,4 Tassie St,Port Augusta,5700.0,South Australia,Australia,Australia/Adelaide,-32.490271,137.7620359,"https://search.google.com/local/reviews?placeid=ChIJDWh7wx3evGoR7Wb3IfWpRSU&q=African+restaurant+in+Port+Augusta,+South+Australia,+Australia&authuser=0&hl=en&gl=US",76.0,4.0,"{1: 8, 2: 4, 3: 9, 4: 16, 5: 39}",8.0,4.0,9.0,16.0,39.0,0x6abcde1dc37b680d:0x2545a9f521f766ed,https://www.skytavern.com.au/contact/,https://www.facebook.com/SkyTavernPortAugusta,,,,,WordPress 6.6.1,Sky Tavern | Eat Drink Play | Dining & Hotel | Port Augusta,Sky Tavern is a relaxed venue situated in Port Augusta that has everything you want from a local pub. With an outdoor alfresco area and cold beer our sports bar is the perfect place to cool down and relax.
https://www.google.com/maps?cid=473535881200546506,Ian's Western Bistro,,+61 8 8642 2781,,,Pub,Pub,"10 Loudon Rd, Port Augusta West SA 5700, Australia",,10 Loudon Rd,Port Augusta West,5700.0,South Australia,Australia,Australia/Adelaide,-32.4838839,137.7587518,"https://search.google.com/local/reviews?placeid=ChIJR8i9-CHevGoRyjJcA2BWkgY&q=African+restaurant+in+Port+Augusta,+South+Australia,+Australia&authuser=0&hl=en&gl=US",164.0,4.3,"{1: 6, 2: 2, 3: 19, 4: 54, 5: 83}",6.0,2.0,19.0,54.0,83.0,0x6abcde21f8bdc847:0x6925660035c32ca,,,,,,,,,
https://www.google.com/maps?cid=15097995793822155189,Adavale Pub Store Post Office,http://www.adavalestore.com.au/,+61 456 692 555,manager@adavalestore.com.au,,Pub,"Pub, Cafe, General store, Post office","704 Shepherd St, Adavale QLD 4474, Australia",,704 Shepherd St,Adavale,4474.0,Queensland,Australia,Australia/Brisbane,-25.9094774,144.599444,"https://search.google.com/local/reviews?placeid=ChIJq7zu4iJPTGoRtYEcjy7bhtE&q=Afghan+restaurant+in+4474,+ADAVALE,+QLD,+Australia&authuser=0&hl=en&gl=US",35.0,4.1,"{1: 3, 2: 0, 3: 4, 4: 12, 5: 16}",3.0,0.0,4.0,12.0,16.0,0x6a4c4f22e2eebcab:0xd186db2e8f1c81b5,http://adavalestore.com.au/adavale%20contact/index.htm,,,,https://www.youtube.com/watch?v=aJakjiidVho&t=101s,,,Adavale Pub Store Post Office,website for The Adavale a hotel on the town of Adavale Queensland Australia. Describes what is available when visited.
https://www.google.com/maps?cid=17154693025278905867,The Grand Hotel,https://grandhotelkalgoorlie.com.au/,,bookings@grandhotelkalgoorlie.com.au,,Pub,Pub,"90 Hannan St, Kalgoorlie WA 6430, Australia",,90 Hannan St,Kalgoorlie,6430.0,Western Australia,Australia,Australia/Perth,-30.7446587,121.474869,"https://search.google.com/local/reviews?placeid=ChIJn5LqNulnTSoRC86ewmq2Ee4&q=Afghan+restaurant+in+Kalgoorlie,+Western+Australia,+Australia&authuser=0&hl=en&gl=US",17.0,4.5,"{1: 0, 2: 0, 3: 3, 4: 3, 5: 11}",0.0,0.0,3.0,3.0,11.0,0x2a4d67e936ea929f:0xee11b66ac29ece0b,,,,,,,"Elementor 3.23.3; features: additional_custom_breakpoints, e_lazyload; settings: css_print_method-external, google_font-enabled, font_display-auto",Grand Hotel Kalgoorlie – Heritage-listed hotel is uniquely positioned in the historic Kalgoorlie city centre,
https://www.google.com/maps?cid=15877456740224742363,Moss Vale Hotel,https://mossvalehotel.com.au/,+61 2 4868 1007,enquiries@mossvalehotel.com.au,,Pub,Pub,"340 Argyle St, Moss Vale NSW 2577, Australia",,340 Argyle St,Moss Vale,2577.0,New South Wales,Australia,Australia/Sydney,-34.5490458,150.372645,"https://search.google.com/local/reviews?placeid=ChIJI5s_LjmXE2sR2zO6acgOWNw&q=African+restaurant+in+Moss+Vale,+New+South+Wales,+Australia&authuser=0&hl=en&gl=US",421.0,4.3,"{1: 14, 2: 11, 3: 41, 4: 141, 5: 214}",14.0,11.0,41.0,141.0,214.0,0x6b1397392e3f9b23:0xdc580ec869ba33db,https://www.mossvalehotel.com.au/contact/,https://www.facebook.com/pages/category/Steakhouse/Porterhouse-Bistro-Moss-Vale-Hotel-666190010161812/,,https://www.instagram.com/mossvalehotel/,,,WordPress 6.6.1,Moss Vale Hotel | Since 1850,
https://www.google.com/maps?cid=10426982007819563629,The Lakelands,http://thelakelands.com.au/,+61 8 9548 3048,,,Pub,Pub,"cnr Barrine Road and, Seppings Parade, Lakelands WA 6180, Australia",,"cnr Barrine Road and, Seppings Parade",Lakelands,6180.0,Western Australia,Australia,Australia/Perth,-32.4707564,115.7608953,"https://search.google.com/local/reviews?placeid=ChIJxWgJJGR9MioRbXJ5P-QUtJA&q=Adult+entertainment+club+in+6180,+LAKELANDS,+WA,+Australia&authuser=0&hl=en&gl=US",443.0,4.1,"{1: 47, 2: 26, 3: 34, 4: 75, 5: 261}",47.0,26.0,34.0,75.0,261.0,0x2a327d64240968c5:0x90b414e43f79726d,http://thelakelands.com.au/#contact,https://www.facebook.com/thelakelandstavern,,https://www.instagram.com/thelakelandstavern/,,,WordPress 6.4.5,Home - The Lakelands,"Your home ground destination for food, drinks and entertainment. Access all areas and play on!"
